group,picName,date,title
CUBE,2016_CUBE_Dec_5,2016-12-05,"Follow up workshop of CUBE- Asian Association for Biology Education
Conference for 20 participants (Dhempe College and Carmell College, Goa and
BITS Pilani Goa, December 5- 9, 2016);"
CUBE,2016_CUBE_Dec_1,2016-12-01,"Three-day workshop on “Teaching undergraduate biology through history of science”, for 3 teachers from Vivekanand Education Society's College of Arts, Science, and Commerce (HBCSE, December 1-3, 2016);"
CUBE,2016_CUBE_Nov_27,2016-11-27,"CUBE Diwali Meet, for 30 students (HBCSE, November 27, 2016);"
CUBE,2016_CUBE_Nov_19,2016-11-19,"Two-day workshop for 10students and 2 teachers on ""Regeneration Studies on
hydra and earthworm"" in collaboration with Agharkar Research Institute, Pune.
(HBCSE, November 19-20, 2016);"
CUBE,2016_CUBE_Nov_1,2016-11-01,"CUBE Diwali Workshop for 20 students from CHM, KBP, VES colleges
(HBCSE, November 1-5, 2016);"
glab,2016_glab_Oct_31,2016-10-31,"Workshop on making microscope with webcam, for 6 middle school participants (HBCSE, October 31, 2016);"
CUBE,2016_CUBE_Oct_4,2016-10-04,"CUBE workshop (in collaboration with a Cubist from Jaipur), for 15 faculty and
graduate students, National Institute of Mental Health and Neurosciences
(Bangalore, October 4, 2016);"
CUBE,2016_CUBE_Oct_2,2016-10-02,"CUBE- Connecting to classroom, for 20 participants, National Centre for
Biological Sciences (Bangalore, October 2, 2016);"
CUBE,2016_CUBE_Oct_1,2016-10-01,"CUBE- India Bioscience workshop for 15 participants, on ""Bridging the gap
between what is taught in the college and what is done in research labs"", Mount
Carmel College (Bangalore, October 1, 2016);"
CUBE,2016_CUBE_Sep_22,2016-09-22,"Follow-up workshop on “Simple model systems and sophisticated research
questions”, for 30 teachers and college students, 26 th AABE conference (Goa, September 22, 2016);"
CUBE,2016_CUBE_Sep_20,2016-09-20,"Pre-conference workshop on “Simple model systems and sophisticated research questions”, for 30 teachers and college students, 26 th AABE conference (Goa,
September 20, 2016); "
clix,2016_clix_Sep_12,2016-09-12,"Collaborative Open Online Learning (COOL), knowledge transfer and capability building workshop for 30 field support persons, field technologists and field action research fellows of CLIx (HBCSE, September 12-17, 2016);"
clix,2016_clix_Aug_29,2016-08-29,"Invitation to Connected Learning Initiative- CLIx, TPD Workshop, for 40 teachers secondary school of Chhattisgarh (Chhattisagarh, August 29-
September 1, 2016);"
clix,2016_clix_Aug_9,2016-08-09,"Invitation to CLIx, Teacher Professional Development Workshop, Connected Learning Initiative - CLIx for 45 participants, Warangal,
Telangana, August 9-12, 2016"
CUBE,2016_CUBE_Aug_7,2016-08-07,"CUBE Summer Meet where 120 students presented their work on model
organisms from Mumbai, Chennai, Delhi, Gujarat (HBCSE, August 7, 2016);"
glab,2016_glab_Aug_5,2016-08-05,"Workshop on National Repository of Open Educational Resources (NROER) for 13 participants, NCERT (Delhi, August 5, 2016);"
clix,2016_clix_Aug_2,2016-08-02,"Invitation to CLIx, Teacher Professional Development Workshop, Connected Learning Initiative - CLIx for 40 participants, Sirohi, Rajasthan, August 2-5, 2016"
clix,2016_clix_Jun_16,2016-06-16,"Invitation to CLIx, Teacher Professional Development Workshop, Connected Learning Initiative - CLIx for 40 participants, Sirohi, Rajasthan, June 16-19, 2016"
clix,2016_clix_Jun_8,2016-06-08,"Invitation to CLIx, Teacher Professional Development Workshop, Connected Learning Initiative - CLIx for 45 participants, Jaipur, Rajasthan, June 8-11, 2016"
clix,2016_clix_Jun_5,2016-06-05,"Invitation to CLIx, Teacher Educator's workshop for 15 participants, Connected Learning Initiative - CLIx (Rajasthan, June 5-6, 2016);"
glab,2016_glab_May_10,2016-05-10,"User Interface/ User Experience (UI/UX) Workshop with FOLO design team for course player and course maker of gstudio platform for 15 participants (HBCSE,
May 10-11, 2016)"
CUBE,2016_CUBE_May_5,2016-05-05,"33. CUBE summer workshop, for 50 students from various colleges across Mumbai,
Pune and from Madras University, who worked on research questions addressed
in Drosophila, Earthworm, C. elegans and Daphnia (HBCSE, May 5- June 5,
2016);"
CUBE,2016_CUBE_Apr_30,2016-04-30,"Workshop on ‘An amazing educational tool: Microscope’ at event organized by National Education Society, for 36 science teachers, at National English School Virar (Thane, April 30, 2016);"
glab,2016_glab_Apr_25,2016-04-25,"Summer camp for 12 deonar colony students on ICT skills, Municipal English 39School (Mumbai, April 25-May 25, 2016);"
clix,2016_clix_Apr_16,2016-04-16,"Invitation to CLIx, Teacher Professional Development, CLIx Mizoram, for 180
participants (Mizoram, April 16 - May 5, 2016);"
clix,2016_clix_Apr_9,2016-04-09,"Course maker's workshop with the CLIx technical team for 15 participants (HBCSE, April 9-10, 2016);"
clix,2016_clix_Apr_7,2016-04-07,"Connected Learning Initiative (CLIx) Orientation workshop for 15 participants
(Chhattisgarh, April 7-8, 2016);"
